id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
A000014,2,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000014.json,Neil,,Abercrombie,D,neilabercrombie,,,,,,20,HI,1,6.24,95.11
A000022,4,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000022.json,Gary,L.,Ackerman,D,repgaryackerman,,,,,,26,NY,5,5.07,97.98
A000055,1460,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000055.json,Robert,B.,Aderholt,R,Robert_Aderholt,RobertAderholt,19787529402,http://aderholt.house.gov,http://aderholt.house.gov/common/rss//index.cfm?rss=20,aderholt.house.gov,12,AL,4,2.72,91.67
A000210,21,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000210.json,Robert,E.,Andrews,D,RepAndrews,,,http://andrews.house.gov/,http://andrews.house.gov/rss.xml,andrews.house.gov,20,NJ,1,12.00,97.33
A000357,1461,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000357.json,Thomas,H.,Allen,D,,,,,,,12,ME,1,2.88,97.36
A000358,1655,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000358.json,Todd,,Akin,R,reptoddakin,,,,,,8,MO,2,1.92,91.08
A000361,1727,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000361.json,Rodney,,Alexander,R,USRepAlexander,RepRodneyAlexander,20002702544,http://alexander.house.gov/,http://alexander.house.gov/common/rss/?rss=24,alexander.house.gov,6,LA,5,5.49,91.20
A000362,1873,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000362.json,Jason,,Altmire,D,RepJasonAltmire,,,,,,2,PA,4,0.00,86.93
A000363,1867,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000363.json,Michael,,Arcuri,D,,,,,,,2,NY,24,0.85,96.66
B000013,38,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000013.json,Spencer,,Bachus,R,BachusAL06,SpencerBachus,6769692966,http://bachus.house.gov,http://bachus.house.gov/index.php?option=com_bca-rss-syndicator&feed_id=1,bachus.house.gov,16,AL,6,7.31,92.17
