rank,PageTitle,Instances,percentage
1.,"atlanta news, sports, atlanta weather, business news",7981603,32.1%
2.,"atlanta sports, braves, falcons, hawks, tech, uga news",710992,2.9%
3.,nick saban's ga. lake house for sale,421763,1.7%
4.,ajc legacy section,308324,1.2%
5.,private quarters: a fairy-tale garden come true,264266,1.1%
6.,3 missing women found,245010,1.0%
7.,atlanta braves news,236555,1.0%
8.,kris kross rapper chris kelly dies at 34,217129,0.9%
9.,sports stats,193651,0.8%
10.,landing page,180940,0.7%
11.,top 10 sec prospects for 2014 nfl draft,154695,0.6%
12.,falcons rookies work out,136786,0.5%
13.,‘kris kross’ rapper chris kelly dies at 34,135192,0.5%
14.,university of georgia football and sports news,119596,0.5%
15.,photos: former atlanta braves outfielder otis nixon through the y,114847,0.5%
16.,celebrities who have had weight-loss surgery,113372,0.5%
17.,atlanta news / georgia news,109707,0.4%
18.,2013 graduation speakers at colleges in georgia,109110,0.4%
19.,atlanta falcons news,99374,0.4%
20.,the atlanta journal-constitution,92238,0.4%
21.,page a1,88715,0.4%
22.,private quarters: a peachtree hills property for pets and kids,82977,0.3%
23.,atlanta neighborhood no. 9 on ‘most dangerous’ list,81664,0.3%
24.,quarterbacks of the sec,79452,0.3%
25.,college football preseason top 10,75945,0.3%
26.,verdict reached in jodi arias case,75659,0.3%
27.,private quarters: rustic antiques adorn brookhaven ranch,70303,0.3%
28.,running backs of the sec,66091,0.3%
29.,georgia tech graduation,65254,0.3%
30.,search results,64269,0.3%
31.,ex-tech star kenny anderson loses coaching job after dui arrest,59426,0.2%
32.,AJC | The Vent | Metro | ajc.com,57263,0.2%
33.,"photos: kidnapping survivors' families speak on may 8, 2013",55460,0.2%
34.,herschel walker's nephew headed out of state for college football | college recruiting,54967,0.2%
35.,georgia tech,54722,0.2%
36.,aftermath of weekend rain,53961,0.2%
37.,booking photos of aps educators,53694,0.2%
38.,best and worst jobs for 2013,53297,0.2%
39.,page a2,53075,0.2%
40.,former brave otis nixon faces drug charges,53034,0.2%
41.,"stars, fans pay tribute to george jones",50506,0.2%
42.,high school sports,49555,0.2%
43.,localnews headlines,49492,0.2%
44.,hudson helps himself on way to 200th win,47336,0.2%
45.,brother of prominent atlanta minister killed during robbery,46752,0.2%
46.,prince harry opens weeklong us visit,45537,0.2%
47.,taking the chaos out of garages,44917,0.2%
48.,"recruiting rewind: ""god said 'i want you to go to ohio state'"" | college recruiting",44671,0.2%
49.,nurse accused of being drunk while sexually assaulting patient,44072,0.2%
50.,3 austell residents killed in train wreck in toccoa,43431,0.2%
