name,latitude,longitude,color
Excelsior,37.7244,-122.421,#E41A1C
Crocker Amazon,37.7107,-122.4372,#FFFF33
Marina,37.8021,-122.4369,#FF7F00
Nob Hill,37.793,-122.416,#FF7F00
North Beach,37.8045,-122.4076,#FF7F00
Pacific Heights,37.7924,-122.4352,#FF7F00
Presidio Heights,37.7868,-122.4538,#FF7F00
Russian Hill,37.8014,-122.4182,#FF7F00
Visitacion Valley,37.7144,-122.4113,#999999
Diamond Heights,37.7423,-122.4423,#984EA3
Glen Park,37.7378,-122.4316,#984EA3
Inner Sunset,37.7584,-122.4654,#984EA3
Lakeshore,37.7225,-122.4885,#984EA3
Outer Mission,37.7239,-122.4439,#984EA3
West Of Twin Peaks,37.7373,-122.4589,,#984EA3
Bayview,37.73,-122.3855,#003264
Bernal Heights,37.7399,-122.4169,#003264
Castro,37.7624,-122.4348,#003264
Haight,37.7692,-122.4463,#003264
Mission,37.7589,-122.4153,#003264
Noe,37.7493,-122.433,#003264
Parkside,37.7411,-122.4892,#003264
Potrero,37.7583,-122.393,#003264
South Of Market,37.7764,-122.3994,#003264
Twin Peaks,37.752,-122.45,,#003264
Western Addition,37.7804,-122.4332,#003264
Inner Richmond,37.7802,-122.4652,#4DAF4A
Outer Richmond,37.778,-122.4928,#4DAF4A
Outer Sunset,37.7553,-122.4938,#4DAF4A
Seacliff,37.7841,-122.5009,#4DAF4A
Golden Gate Park,37.7689,-122.4828,#4DAF4A
Chinatown,37.7941,-122.407,#F781BF
Downtown,37.7835,-122.4158,#F781BF
Financial District,37.7915,-122.3988,#F781BF
Ocean View,37.7178,-122.4622,#A65628
