State, Housing Units, Percent Vacant, State Postal, FIPS
Alabama, 2171853, 0.13263400, AL, 01
Alaska, 306967, 0.15933000, AK, 02
Arizona, 2844526, 0.16295700, AZ, 04
Arkansas, 1316299, 0.12855400, AR, 05
California, 13680081, 0.08059800, CA, 06
Colorado, 2212898, 0.10846900, CO, 08
Connecticut, 1487891, 0.07850300, CT, 09
Delaware, 405885, 0.15666500, DE, 10
District of Columbia, 296719, 0.10114600, DC, 11
Florida, 8989580, 0.17451100, FL, 12
Georgia, 4088801, 0.12307200, GA, 13
Hawaii, 519508, 0.12352100, HI, 15
Idaho, 667796, 0.13235800, ID, 16
Illinois, 5296715, 0.08679800, IL, 17
Indiana, 2795541, 0.10494800, IN, 18
Iowa, 1336417, 0.08593200, IA, 19
Kansas, 1233215, 0.09821400, KS, 20
Kentucky, 1927164, 0.10751500, KY, 21
Louisiana, 1964981, 0.12041900, LA, 22
Maine, 721830, 0.22804700, ME, 23
Maryland, 2378814, 0.09349300, MD, 24
Massachusetts, 2808254, 0.09300400, MA, 25
Michigan, 4532233, 0.14556300, MI, 26
Minnesota, 2347201, 0.11075900, MN, 27
Mississippi, 1274719, 0.12469500, MS, 28
Missouri, 2712729, 0.12427300, MO, 29
Montana, 482825, 0.15164500, MT, 30
